Date,Open,High,Low,Close,Adj Close,Volume
2006-01-04,16294.650391,16361.540038999998,16250.759766,16361.540038999998,16361.540038999998,94200
2006-01-05,16441.269531,16474.519531,16368.509766,16425.369141,16425.369141,164600
2006-01-06,16408.310547,16479.550781,16320.429688,16428.210938,16428.210938,170400
2006-01-10,16487.050781,16487.050781,16124.349609,16124.349609,16124.349609,154600
2006-01-11,16164.919922,16363.589844,16005.240234,16363.589844,16363.589844,146200
2006-01-12,16426.689453,16472.990234,16310.450195,16445.189453,16445.189453,129800
2006-01-13,16454.320313,16490.269531,16383.230469,16454.949219,16454.949219,137400
2006-01-16,16360.040038999998,16387.630859,16221.589844,16268.030272999998,16268.030272999998,110000
2006-01-17,16152.070313,16324.169922,15805.950195,15805.950195,15805.950195,140200
2006-01-18,15725.639647999998,15725.639647999998,15059.519531,15341.179688,15341.179688,192400
2006-01-19,15396.599609,15740.820313,15396.599609,15696.280272999998,15696.280272999998,148000
2006-01-20,15847.169922,15875.389647999998,15597.769531,15696.69043,15696.69043,124000
2006-01-23,15497.610352000002,15564.900391,15312.709961000002,15360.650391,15360.650391,108400
2006-01-24,15470.910156,15685.139647999998,15470.389647999998,15648.889647999998,15648.889647999998,94600
2006-01-25,15725.759766,15849.519531,15651.0,15651.0,15651.0,143800
2006-01-26,15783.700195,15891.019531,15764.889647999998,15891.019531,15891.019531,121800
2006-01-27,16079.94043,16460.679688,16079.919922,16460.679688,16460.679688,153800
2006-01-30,16615.910156,16754.599609,16538.720703,16551.230469,16551.230469,203400
2006-01-31,16603.900391,16718.789063,16561.310547,16649.820313,16649.820313,143200
2006-02-01,16594.900391,16671.910156,16480.089844,16480.089844,16480.089844,160400
2006-02-02,16632.599609,16736.179688,16611.529297,16710.550781,16710.550781,158600
2006-02-03,16596.210938,16665.099609,16567.869141,16659.640625,16659.640625,125000
2006-02-06,16736.230469,16777.369141,16578.189453,16747.759766,16747.759766,120200
2006-02-07,16768.160156,16769.369141,16681.039063,16720.990234,16720.990234,151400
2006-02-08,16609.960938,16682.910156,16272.679688,16272.679688,16272.679688,134400
2006-02-09,16444.740234,16540.490234,16351.429688,16439.669922,16439.669922,130800
2006-02-10,16525.5,16525.5,16090.929688,16257.830078,16257.830078,180200
2006-02-13,16191.929688,16191.929688,15877.660156,15877.660156,15877.660156,143800
