Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,99.39071700000001,100.82770500000001,98.755585,126.699997,100.589523,73256700
2006-01-04,100.716553,101.216713,100.589523,127.300003,101.065865,51899600
2006-01-05,100.946815,101.29613499999999,100.732414,127.379997,101.129379,47307500
2006-01-06,101.637512,102.082115,101.113518,128.440002,101.970947,62885900
2006-01-09,101.955063,102.463173,101.923302,128.770004,102.232948,43527400
2006-01-10,101.93124399999999,102.399651,101.828049,128.899994,102.336159,44960800
2006-01-11,102.43141899999999,102.764862,102.201187,129.309998,102.661636,49598900
2006-01-12,102.47905,102.637833,101.970947,128.800003,102.256752,40509200
2006-01-13,102.074188,102.336159,101.780411,128.679993,102.161484,44856700
2006-01-17,101.780411,101.955063,101.47077900000001,128.330002,101.883606,52066600
2006-01-18,101.28817,102.336159,100.954735,127.82,101.47872199999999,75067600
2006-01-19,101.724838,102.232948,101.47077900000001,128.309998,101.867752,81530400
2006-01-20,101.843956,101.867752,100.009949,125.970001,100.009949,114957800
2006-01-23,100.200523,100.684814,100.136986,126.41999799999999,100.367226,67017400
2006-01-24,100.53398100000001,100.946815,100.367226,126.550003,100.47045899999999,53008800
2006-01-25,100.85946700000001,100.970642,99.906738,126.660004,100.55776999999999,87747700
2006-01-26,101.026169,101.359627,100.63715400000001,127.360001,101.113518,71294000
2006-01-27,101.351692,102.145607,101.184975,128.53999299999998,102.050354,65771200
2006-01-30,101.970947,102.26469399999999,101.89949,128.440002,101.970947,33709600
2006-01-31,101.875687,102.050354,101.216713,127.5,101.22466999999999,72937000
2006-02-01,101.47872199999999,101.962997,101.399323,128.389999,101.93124399999999,63561000
2006-02-02,101.701042,101.73278,100.668915,126.900002,100.74831400000001,83626900
2006-02-03,100.49425500000001,101.93124399999999,100.14492800000001,126.269997,100.248161,86040400
2006-02-06,100.383133,100.668915,100.168747,126.599998,100.510132,45511900
2006-02-07,100.33548,100.55776999999999,99.557434,125.480003,99.620964,71208100
2006-02-08,99.914688,101.701042,99.716217,126.620003,100.526009,59422200
2006-02-09,100.764214,101.304047,100.32755300000001,126.410004,100.359299,62023300
2006-02-10,100.375191,100.930916,99.597137,126.639999,100.541901,64508700
2006-02-13,100.510132,100.660988,99.994095,126.410004,100.359299,52308700
2006-02-14,100.39901,101.645439,100.200523,127.75,101.423141,90964400
2006-02-15,101.367577,101.875687,101.018227,128.199997,101.780411,85471300
2006-02-16,101.891525,102.582275,101.764549,129.16000400000001,102.54258,61017900
2006-02-17,102.455238,102.54258,102.082115,128.809998,102.26469399999999,40342600
2006-02-21,102.50286899999999,102.733109,101.851837,128.490005,102.010643,46456300
2006-02-22,102.232948,102.931572,102.13765699999999,129.270004,102.629906,42326700
2006-02-23,102.629906,102.923645,101.843956,129.080002,102.47905,43423200
2006-02-24,102.50286899999999,102.796616,102.224983,129.41000400000001,102.741058,36777400
2006-02-27,102.733109,103.241226,102.637833,129.46000700000002,102.780731,35858600
2006-02-28,102.574318,103.13803100000001,101.724838,128.229996,101.804214,74394800
2006-03-01,102.097984,102.804573,102.018578,129.369995,102.70929699999999,48641600
2006-03-02,102.336159,102.74897800000001,102.10591099999999,129.360001,102.701347,60642300
2006-03-03,102.153549,103.265038,102.13765699999999,128.759995,102.224983,73402500
